Job Title,Job Description,Company,Location,Experience,Education,Salary,skills,Category
Full Stack Developer,"We are looking for a Full Stack Developer to join our team. The ideal candidate will have experience in React and REST APIs. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in New York, NY.",Smith LLC,"Seattle, WA",2-5 years,PhD,"$90,000 - $130,000","Java, SQL, Python",Software Development
Technical Product Manager,"We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Data Analysis and Stakeholder Management. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.",Harper PLC,Remote,0-2 years,Bachelor's Degree,"$60,000 - $90,000","Stakeholder Management, Data Analysis, Scrum, Market Research",Product Management
Product Designer,"We are looking for a Product Designer to join our team. The ideal candidate will have experience in User Research and Sketch. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Austin, TX.",Jacobs-Carter,"New York, NY",2-5 years,Bachelor's Degree,"$90,000 - $130,000","Design Systems, Visual Design, User Research, Wireframing, Figma, Sketch",Design
Technical Product Manager,"We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Agile and Product Roadmap. This role requires 0-2 years of experience and Master's Degree. The position is based in New York, NY.",Anderson-Davis,"Austin, TX",5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","Stakeholder Management, Agile, Product Metrics",Product Management
DevOps Engineer,"We are looking for a DevOps Engineer to join our team. The ideal candidate will have experience in REST APIs and JavaScript. This role requires 8+ years of experience and Master's Degree. The position is based in Chicago, IL.","Leonard, Thomas and Valentine",Remote,5-8 years,Master's Degree,"$130,000 - $180,000","JavaScript, CI/CD, React",Software Development
Graphic Designer,"We are looking for a Graphic Designer to join our team. The ideal candidate will have experience in Design Systems and Figma. This role requires 8+ years of experience and PhD. The position is based in Chicago, IL.",Larson LLC,"San Francisco, CA",8+ years,Bachelor's Degree or equivalent experience,"$180,000+","UI/UX Design, Visual Design, Wireframing",Design
AI Research Scientist,"We are looking for a AI Research Scientist to join our team. The ideal candidate will have experience in Data Visualization and Data Visualization. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in Austin, TX.","Lucas, Potts and Flowers","Seattle, WA",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Spark, Statistics, Python, Deep Learning",Data Science
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in REST APIs and JavaScript. This role requires 0-2 years of experience and PhD. The position is based in New York, NY.",Allen Ltd,Remote,5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","REST APIs, Java, Python",Software Development
Data Scientist,We are looking for a Data Scientist to join our team. The ideal candidate will have experience in Python and TensorFlow. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Hybrid.,Davis Ltd,Remote,5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","Machine Learning, Statistics, PyTorch, SQL",Data Science
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in REST APIs and JavaScript. This role requires 0-2 years of experience and PhD. The position is based in Seattle, WA.","Pena, Anderson and Saunders",Remote,0-2 years,Master's Degree,"$60,000 - $90,000","Git, Microservices, AWS, Docker, NoSQL",Software Development
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Sketch and UI/UX Design. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in New York, NY.","Shaw, House and Howard","Chicago, IL",8+ years,Bachelor's Degree or equivalent experience,"$180,000+","User Research, UI/UX Design, Interaction Design, Figma, Wireframing",Design
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Digital Marketing and Social Media. This role requires 0-2 years of experience and PhD. The position is based in Boston, MA.",Gomez-Martin,Hybrid,5-8 years,Bachelor's Degree,"$130,000 - $180,000","Campaign Management, Content Marketing, Google Analytics, Social Media, Digital Marketing, Email Marketing",Marketing
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Sketch and Figma. This role requires 5-8 years of experience and Master's Degree. The position is based in Seattle, WA.","Martin, Taylor and Oconnell",Remote,2-5 years,Bachelor's Degree,"$90,000 - $130,000","Visual Design, Figma, UI/UX Design, User Research",Design
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Product Metrics and A/B Testing. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Boston, MA.",Jones-Brown,"Chicago, IL",5-8 years,PhD,"$130,000 - $180,000","Product Roadmap, Market Research, A/B Testing",Product Management
Mobile Developer,We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in Node.js and Microservices. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Hybrid.,Rasmussen and Sons,"Seattle, WA",2-5 years,Bachelor's Degree,"$90,000 - $130,000","Kubernetes, Java, Microservices, SQL",Software Development
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Prototyping and Interaction Design. This role requires 8+ years of experience and Bachelor's Degree. The position is based in New York, NY.","Smith, Hamilton and Patel","New York, NY",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Adobe XD, User Research, Design Systems, Sketch, Visual Design, UI/UX Design",Design
Senior Data Scientist,"We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in Machine Learning and Python. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in San Francisco, CA.",Cooke Ltd,"Seattle, WA",0-2 years,Master's Degree,"$60,000 - $90,000","SQL, Deep Learning, Machine Learning, PyTorch, Data Visualization, Data Analysis",Data Science
Digital Marketing Manager,"We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Google Analytics and Campaign Management. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Boston, MA.",Brown LLC,"Chicago, IL",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Marketing Automation, Campaign Management, Google Analytics, Social Media, SEO",Marketing
Data Analyst,"We are looking for a Data Analyst to join our team. The ideal candidate will have experience in Big Data and Spark. This role requires 2-5 years of experience and PhD. The position is based in San Francisco, CA.",Fernandez PLC,"Austin, TX",8+ years,Bachelor's Degree,"$180,000+","Spark, Data Analysis, PyTorch, Machine Learning, Python",Data Science
Content Marketing Specialist,We are looking for a Content Marketing Specialist to join our team. The ideal candidate will have experience in SEO and Data Analysis. This role requires 8+ years of experience and Bachelor's Degree. The position is based in Remote.,"Howard, Ballard and Morrow","Seattle, WA",2-5 years,Bachelor's Degree,"$90,000 - $130,000","Content Marketing, Email Marketing, Social Media",Marketing
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in SEO and Email Marketing. This role requires 8+ years of experience and PhD. The position is based in Seattle, WA.",Arnold Ltd,"New York, NY",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","A/B Testing, Content Marketing, Social Media",Marketing
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Campaign Management and Google Analytics. This role requires 0-2 years of experience and Master's Degree. The position is based in Boston, MA.",Harris Ltd,Hybrid,0-2 years,Bachelor's Degree,"$60,000 - $90,000","Digital Marketing, Marketing Automation, Google Analytics",Marketing
Mobile Developer,"We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in AWS and REST APIs. This role requires 5-8 years of experience and PhD. The position is based in Chicago, IL.","Mullen, Brooks and Martin","Austin, TX",8+ years,PhD,"$180,000+","NoSQL, Microservices, Python",Software Development
Digital Marketing Manager,We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in SEO and SEO. This role requires 2-5 years of experience and Master's Degree. The position is based in Remote.,Freeman-Walker,Hybrid,5-8 years,Master's Degree,"$130,000 - $180,000","Google Analytics, Campaign Management, A/B Testing, Content Marketing, Digital Marketing",Marketing
Product Marketing Manager,We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Product Strategy and A/B Testing. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Evans-Foster,"San Francisco, CA",2-5 years,PhD,"$90,000 - $130,000","Product Roadmap, User Stories, Scrum",Product Management
Digital Marketing Manager,"We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in SEO and Digital Marketing. This role requires 2-5 years of experience and PhD. The position is based in Boston, MA.",Lee Group,Hybrid,2-5 years,Master's Degree,"$90,000 - $130,000","Data Analysis, SEO, Social Media, Content Marketing",Marketing
Senior Data Scientist,"We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in Big Data and PyTorch. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in Chicago, IL.","Cordova, Gonzalez and Ford","San Francisco, CA",8+ years,Master's Degree or equivalent experience,"$180,000+","Big Data, TensorFlow, Statistics, Hadoop, R, Python",Data Science
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Content Marketing and Google Analytics. This role requires 5-8 years of experience and Master's Degree. The position is based in Austin, TX.",Anderson and Sons,"Chicago, IL",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Email Marketing, Content Marketing, Social Media",Marketing
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in SQL and Kubernetes. This role requires 8+ years of experience and Bachelor's Degree. The position is based in New York, NY.",Hoffman-Randolph,"New York, NY",2-5 years,Master's Degree,"$90,000 - $130,000","Docker, Node.js, SQL, AWS, NoSQL",Software Development
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Design Systems and Prototyping. This role requires 0-2 years of experience and Bachelor's Degree. The position is based in New York, NY.",Hill Inc,"Boston, MA",0-2 years,PhD,"$60,000 - $90,000","Prototyping, Interaction Design, Sketch",Design
Technical Product Manager,"We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Agile and User Stories. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Boston, MA.",Wilson Group,"Seattle, WA",8+ years,Bachelor's Degree or equivalent experience,"$180,000+","Scrum, Data Analysis, User Stories, Agile",Product Management
Interaction Designer,We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Design Systems and Interaction Design. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Hybrid.,"Taylor, Smith and Fields","Chicago, IL",8+ years,Bachelor's Degree or equivalent experience,"$180,000+","Wireframing, UI/UX Design, Prototyping, Sketch",Design
Product Marketing Manager,We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Market Research and Agile. This role requires 0-2 years of experience and PhD. The position is based in Hybrid.,Ray LLC,"New York, NY",2-5 years,Master's Degree,"$90,000 - $130,000","Product Strategy, User Stories, Data Analysis, Product Roadmap, Agile, Stakeholder Management",Product Management
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Data Analysis and Social Media. This role requires 2-5 years of experience and PhD. The position is based in Seattle, WA.","Solomon, Downs and Hunter","New York, NY",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Google Analytics, Data Analysis, A/B Testing, Campaign Management",Marketing
Digital Marketing Manager,"We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Digital Marketing and Google Analytics. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in Seattle, WA.",Stewart PLC,"Boston, MA",8+ years,Master's Degree,"$180,000+","Digital Marketing, SEO, Content Marketing",Marketing
DevOps Engineer,We are looking for a DevOps Engineer to join our team. The ideal candidate will have experience in Java and AWS. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Hybrid.,Pugh-Floyd,"Seattle, WA",5-8 years,Bachelor's Degree,"$130,000 - $180,000","React, Kubernetes, NoSQL, Python, SQL, AWS",Software Development
Content Marketing Specialist,"We are looking for a Content Marketing Specialist to join our team. The ideal candidate will have experience in Content Marketing and Google Analytics. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Seattle, WA.","Wheeler, Cox and Clayton","San Francisco, CA",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","A/B Testing, Digital Marketing, Content Marketing, Data Analysis, Social Media, Email Marketing",Marketing
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Content Marketing and Campaign Management. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Chicago, IL.","Carr, Grant and Romero","Austin, TX",8+ years,PhD,"$180,000+","Email Marketing, A/B Testing, Campaign Management, SEO, Google Analytics, Marketing Automation",Marketing
Social Media Manager,We are looking for a Social Media Manager to join our team. The ideal candidate will have experience in Marketing Automation and SEO. This role requires 2-5 years of experience and PhD. The position is based in Hybrid.,Coleman-Peters,"Boston, MA",0-2 years,PhD,"$60,000 - $90,000","Google Analytics, Social Media, Data Analysis, Digital Marketing, Content Marketing, SEO",Marketing
SEO Specialist,We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in Campaign Management and Marketing Automation. This role requires 5-8 years of experience and PhD. The position is based in Hybrid.,"Jackson, Carter and Kerr","Boston, MA",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Social Media, SEO, Content Marketing, Email Marketing, Marketing Automation",Marketing
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Data Analysis and User Stories. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Boston, MA.","Norton, Wang and Sanders",Remote,8+ years,Bachelor's Degree,"$180,000+","Product Roadmap, Stakeholder Management, Data Analysis",Product Management
Graphic Designer,"We are looking for a Graphic Designer to join our team. The ideal candidate will have experience in Figma and Adobe XD. This role requires 8+ years of experience and PhD. The position is based in Austin, TX.",Todd-Pacheco,"San Francisco, CA",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Sketch, Interaction Design, Figma, Prototyping, Visual Design",Design
Senior Software Engineer,"We are looking for a Senior Software Engineer to join our team. The ideal candidate will have experience in React and NoSQL. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.",Shepherd and Sons,"San Francisco, CA",0-2 years,Master's Degree,"$60,000 - $90,000","Kubernetes, REST APIs, Java, AWS, NoSQL, Node.js",Software Development
Interaction Designer,We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Design Systems and Wireframing. This role requires 2-5 years of experience and PhD. The position is based in Remote.,Clark-Ayala,"San Francisco, CA",0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","Prototyping, User Research, Sketch",Design
UI Designer,"We are looking for a UI Designer to join our team. The ideal candidate will have experience in Wireframing and Sketch. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Boston, MA.","Williams, Lynch and Cook",Remote,5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Sketch, Interaction Design, Prototyping, Adobe XD",Design
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in A/B Testing and Email Marketing. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Seattle, WA.",Smith LLC,"Seattle, WA",5-8 years,PhD,"$130,000 - $180,000","Google Analytics, Marketing Automation, Email Marketing, Social Media",Marketing
Mobile Developer,"We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in Docker and React. This role requires 5-8 years of experience and PhD. The position is based in New York, NY.",Osborn-Turner,Hybrid,2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Git, Docker, CI/CD, REST APIs, Node.js, Java",Software Development
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Visual Design and Figma. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Boston, MA.",Johnson LLC,"Chicago, IL",2-5 years,Bachelor's Degree,"$90,000 - $130,000","UI/UX Design, Sketch, Adobe XD, Design Systems, Wireframing",Design
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Product Strategy and Stakeholder Management. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Austin, TX.","Moody, Coleman and Smith","San Francisco, CA",5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","User Stories, Product Strategy, A/B Testing, Product Roadmap, Product Metrics",Product Management
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Scrum and Data Analysis. This role requires 8+ years of experience and Bachelor's Degree. The position is based in New York, NY.",Newton-Sherman,Hybrid,8+ years,Master's Degree,"$180,000+","Market Research, A/B Testing, Product Roadmap, User Stories, Data Analysis, Product Metrics",Product Management
Product Manager,"We are looking for a Product Manager to join our team. The ideal candidate will have experience in Product Metrics and Stakeholder Management. This role requires 8+ years of experience and Bachelor's Degree. The position is based in San Francisco, CA.",Adams-Nelson,"San Francisco, CA",8+ years,Master's Degree,"$180,000+","A/B Testing, Product Strategy, User Stories, Product Roadmap, Market Research",Product Management
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in Java and Python. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Boston, MA.",Wood PLC,"New York, NY",8+ years,Master's Degree,"$180,000+","Node.js, Kubernetes, Git, CI/CD",Software Development
Senior Data Scientist,We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in Hadoop and Data Visualization. This role requires 0-2 years of experience and Master's Degree. The position is based in Hybrid.,Henderson-Berry,Hybrid,2-5 years,Master's Degree,"$90,000 - $130,000","Big Data, PyTorch, Data Visualization, Statistics, SQL",Data Science
Mobile Developer,"We are looking for a Mobile Developer to join our team. The ideal candidate will have experience in CI/CD and Microservices. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in New York, NY.","Barnes, Brooks and Allen",Remote,2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Kubernetes, REST APIs, AWS, Python, Docker",Software Development
Digital Marketing Manager,We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in Data Analysis and SEO. This role requires 0-2 years of experience and Master's Degree. The position is based in Hybrid.,Reid Group,"Boston, MA",2-5 years,Master's Degree,"$90,000 - $130,000","Data Analysis, Google Analytics, SEO, Digital Marketing, A/B Testing, Social Media",Marketing
Product Marketing Manager,"We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Scrum and Agile. This role requires 5-8 years of experience and Bachelor's Degree. The position is based in Austin, TX.",Wagner PLC,Remote,8+ years,PhD,"$180,000+","User Stories, Stakeholder Management, Scrum, Agile",Product Management
Content Marketing Specialist,We are looking for a Content Marketing Specialist to join our team. The ideal candidate will have experience in Campaign Management and A/B Testing. This role requires 5-8 years of experience and PhD. The position is based in Remote.,"Rosales, Torres and Cherry","San Francisco, CA",0-2 years,Master's Degree,"$60,000 - $90,000","Social Media, Data Analysis, Google Analytics, A/B Testing, SEO, Digital Marketing",Marketing
AI Research Scientist,"We are looking for a AI Research Scientist to join our team. The ideal candidate will have experience in Data Visualization and Data Analysis. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Austin, TX.","Cruz, Hernandez and Wallace",Remote,5-8 years,Master's Degree,"$130,000 - $180,000","Spark, Data Visualization, Data Analysis, Statistics",Data Science
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in A/B Testing and SEO. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Chicago, IL.",Mckinney PLC,"Boston, MA",0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","A/B Testing, SEO, Content Marketing, Campaign Management, Marketing Automation, Social Media",Marketing
Business Intelligence Analyst,"We are looking for a Business Intelligence Analyst to join our team. The ideal candidate will have experience in PyTorch and Python. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Seattle, WA.",Murphy and Sons,"Chicago, IL",5-8 years,Master's Degree or equivalent experience,"$130,000 - $180,000","Machine Learning, Data Visualization, Python, Spark",Data Science
Senior Data Scientist,We are looking for a Senior Data Scientist to join our team. The ideal candidate will have experience in R and R. This role requires 8+ years of experience and PhD. The position is based in Remote.,Munoz LLC,"Seattle, WA",0-2 years,Master's Degree,"$60,000 - $90,000","Hadoop, PyTorch, Python, R, Machine Learning, Deep Learning",Data Science
AI Research Scientist,We are looking for a AI Research Scientist to join our team. The ideal candidate will have experience in Hadoop and SQL. This role requires 5-8 years of experience and PhD. The position is based in Hybrid.,Pace and Sons,"Boston, MA",0-2 years,Bachelor's Degree,"$60,000 - $90,000","Machine Learning, Spark, Deep Learning, TensorFlow",Data Science
Marketing Analyst,"We are looking for a Marketing Analyst to join our team. The ideal candidate will have experience in Campaign Management and Social Media. This role requires 5-8 years of experience and PhD. The position is based in Chicago, IL.","Wagner, Gonzalez and Hudson","Chicago, IL",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","SEO, Marketing Automation, Email Marketing, Content Marketing, Social Media",Marketing
SEO Specialist,"We are looking for a SEO Specialist to join our team. The ideal candidate will have experience in SEO and A/B Testing. This role requires 2-5 years of experience and Bachelor's Degree. The position is based in Chicago, IL.","Baker, Parker and Alexander","Chicago, IL",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","Digital Marketing, Data Analysis, SEO, Campaign Management, Email Marketing",Marketing
Product Owner,"We are looking for a Product Owner to join our team. The ideal candidate will have experience in Agile and Data Analysis. This role requires 5-8 years of experience and Master's Degree. The position is based in Boston, MA.",Hodges-Johnson,"San Francisco, CA",2-5 years,PhD,"$90,000 - $130,000","Data Analysis, Product Metrics, User Stories, Market Research, Product Strategy, Product Roadmap",Product Management
Business Intelligence Analyst,"We are looking for a Business Intelligence Analyst to join our team. The ideal candidate will have experience in SQL and Data Visualization. This role requires 8+ years of experience and Bachelor's Degree. The position is based in Austin, TX.",Wolfe PLC,"New York, NY",8+ years,Master's Degree or equivalent experience,"$180,000+","Machine Learning, SQL, TensorFlow",Data Science
Senior Product Manager,"We are looking for a Senior Product Manager to join our team. The ideal candidate will have experience in Scrum and Agile. This role requires 5-8 years of experience and Bachelor's Degree or equivalent experience. The position is based in Seattle, WA.","Gonzalez, Clark and Taylor",Remote,8+ years,Master's Degree or equivalent experience,"$180,000+","Data Analysis, Market Research, Product Metrics, Scrum, A/B Testing, Product Strategy",Product Management
DevOps Engineer,"We are looking for a DevOps Engineer to join our team. The ideal candidate will have experience in Kubernetes and Java. This role requires 2-5 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.","Pratt, Wolf and Gonzales",Remote,5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","Kubernetes, React, SQL",Software Development
Product Marketing Manager,We are looking for a Product Marketing Manager to join our team. The ideal candidate will have experience in Scrum and A/B Testing. This role requires 0-2 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,"Holden, Butler and Hughes","Seattle, WA",5-8 years,Master's Degree,"$130,000 - $180,000","User Stories, A/B Testing, Agile, Product Strategy, Stakeholder Management",Product Management
Interaction Designer,"We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Visual Design and UI/UX Design. This role requires 0-2 years of experience and Bachelor's Degree or equivalent experience. The position is based in Chicago, IL.",Conway-Wilson,"Boston, MA",5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","Figma, Adobe XD, UI/UX Design, Visual Design, Interaction Design, Sketch",Design
Data Scientist,"We are looking for a Data Scientist to join our team. The ideal candidate will have experience in PyTorch and Hadoop. This role requires 5-8 years of experience and Master's Degree or equivalent experience. The position is based in San Francisco, CA.",Austin Group,"Boston, MA",8+ years,Master's Degree,"$180,000+","Hadoop, Python, SQL",Data Science
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The ideal candidate will have experience in Data Analysis and Statistics. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in New York, NY.",Choi LLC,"San Francisco, CA",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Data Analysis, Python, Big Data, SQL, Spark, Data Visualization",Data Science
Social Media Manager,We are looking for a Social Media Manager to join our team. The ideal candidate will have experience in SEO and Campaign Management. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,"Tucker, Taylor and Kim","New York, NY",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Content Marketing, Marketing Automation, Email Marketing, A/B Testing",Marketing
Interaction Designer,We are looking for a Interaction Designer to join our team. The ideal candidate will have experience in Adobe XD and Design Systems. This role requires 2-5 years of experience and PhD. The position is based in Hybrid.,Kim and Sons,"San Francisco, CA",2-5 years,Bachelor's Degree or equivalent experience,"$90,000 - $130,000","Figma, Visual Design, Interaction Design, UI/UX Design",Design
Technical Product Manager,We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Agile and Scrum. This role requires 8+ years of experience and Master's Degree. The position is based in Remote.,Rodriguez Inc,"Austin, TX",8+ years,Master's Degree or equivalent experience,"$180,000+","Product Metrics, Market Research, User Stories, Scrum",Product Management
